ID,DR,Gaia,RAhRAmRAs,DEdDEmDEs,Gmag,GBPmag,GRPmag,N,RMS,Mm,n_
W2436,DR2,6045502271156132096,162336.45,-262406.1,16.91,17.43,16.17,3622,2.35,1.000,
W2437,DR2,6045503233228842240,162336.45,-262140.6,16.44,16.98,15.70,3586,2.43,1.000,
W2438,DR2,6045478459848870528,162336.45,-262713.7,18.19,18.47,17.09,3645,6.76,,N.D.
W2439,DR2,6045502236796385536,162336.46,-262435.7,18.32,18.74,17.34,3632,8.71,1.000,
W2440,DR2,6045466537026937600,162336.50,-262857.0,18.38,18.78,17.49,3574,14.95,1.000,
W2441,DR2,6045502442954846976,162336.53,-262232.7,17.17,17.78,16.36,3628,2.80,0.000,
W2442,DR2,6045478562936234752,162336.54,-262556.7,17.18,17.88,16.28,3577,8.77,0.000,
W2443,DR2,6045503233228838400,162336.54,-262152.5,17.53,18.06,16.74,3600,6.41,1.000,
W2444,DR2,6045502030631525120,162336.55,-262540.2,18.57,19.03,17.63,3593,39.14,1.000,
W2445,DR2,6045478494216486784,162336.56,-262620.0,17.24,17.74,16.45,3312,101.99,1.000,
W2446,DR2,6045466502667152896,162336.57,-262943.2,16.63,17.07,15.82,3660,3.64,1.000,
W2447,DR2,6045502271149764224,162336.58,-262409.6,19.00,19.43,17.97,3607,15.40,1.000,
W2448,DR2,6045466708825664384,162336.58,-262751.4,17.07,17.24,16.05,3623,16.11,1.000,
W2449,DR2,6045466537026930048,162336.59,-262904.8,17.58,18.02,16.78,3603,6.53,1.000,
W2450,DR2,6045502271156136576,162336.60,-262346.2,17.12,17.63,16.37,3648,2.78,1.000,
W2451,DR2,6045502030637939456,162336.60,-262531.6,17.15,17.65,16.39,3561,6.03,1.000,
W2452,DR2,6045466601441331200,162336.62,-262831.0,18.85,19.05,17.74,3444,76.83,1.000,
W2453,DR2,6045466704520546432,162336.65,-262810.5,18.69,19.04,17.69,3603,25.54,1.000,
W2454,DR2,6045503228917325952,162336.67,-262128.3,18.84,19.27,17.99,3589,32.42,0.000,
W2455,DR2,6045466537018163712,162336.67,-262915.2,17.89,18.35,17.05,3621,9.15,1.000,
W2456,DR2,6045466537026904704,162336.68,-262928.9,16.77,17.23,16.02,2907,194.57,1.000,
